Player,Pos,FG%,3P,eFG%,FT%,TRB,AST,STL,BLK,TOV,PTS
Tyler Cook\cookty01,PF-SF,.667,0.0,.667,.875,1.1,0.1,0.2,0.0,0.2,1.8
Robert Covington\covinro01,PF-C,.422,2.3,.533,.798,6.6,1.3,1.6,1.3,1.5,12.4
Allen Crabbe\crabbal01,SG-SF,.356,1.0,.458,.714,2.1,0.9,0.4,0.1,0.5,4.6
Torrey Craig\craigto01,SF,.461,0.8,.545,.611,3.3,0.8,0.4,0.6,0.4,5.4
Jamal Crawford\crawfja01,SG,.500,1.0,.625,,0.0,3.0,0.0,0.0,0.0,5.0
Jae Crowder\crowdja01,SF-PF,.401,2.1,.521,.776,5.9,2.5,1.1,0.4,1.1,10.5
Jarrett Culver\culveja01,SG,.404,1.0,.462,.462,3.4,1.7,0.9,0.6,1.3,9.2
Seth Curry\curryse01,SG,.495,2.3,.621,.825,2.3,1.9,0.6,0.1,1.0,12.4
Stephen Curry\curryst01,PG,.402,2.4,.476,1.000,5.2,6.6,1.0,0.4,3.2,20.8
Troy Daniels\danietr01,SG,.387,1.0,.511,.625,1.1,0.4,0.2,0.1,0.3,4.3
Anthony Davis\davisan02,PF,.503,1.2,.536,.846,9.3,3.2,1.5,2.3,2.5,26.1
Ed Davis\davised01,C,.478,0.0,.478,.500,3.8,0.4,0.4,0.3,0.5,1.8
Terence Davis\daviste02,SG,.456,1.3,.564,.864,3.3,1.6,0.5,0.2,1.1,7.5
Dewayne Dedmon\dedmode01,C,.400,0.5,.443,.833,5.7,0.5,0.6,0.9,1.3,5.8
Matthew Dellavedova\dellama01,PG,.354,0.4,.414,.865,1.3,3.2,0.4,0.0,1.0,3.1
DeMar DeRozan\derozde01,SF,.531,0.1,.535,.845,5.5,5.6,1.0,0.3,2.4,22.1
Cheick Diallo\diallch01,C,.648,0.0,.651,.872,2.8,0.5,0.2,0.3,0.7,4.7
Hamidou Diallo\diallha01,SF,.446,0.3,.473,.603,3.6,0.8,0.8,0.2,1.1,6.9
Gorgui Dieng\dienggo01,C,.456,0.9,.530,.772,5.6,1.2,0.8,0.9,1.0,7.4
Spencer Dinwiddie\dinwisp01,PG,.415,1.9,.476,.778,3.5,6.8,0.6,0.3,2.7,20.6
Donte DiVincenzo\divindo01,SG,.455,1.3,.536,.733,4.8,2.3,1.3,0.3,1.4,9.2
Luka Dončić\doncilu01,PG,.463,2.8,.531,.758,9.4,8.8,1.0,0.2,4.3,28.8
Luguentz Dort\dortlu01,SF,.394,0.8,.463,.792,2.3,0.8,0.9,0.1,0.6,6.8
Damyean Dotson\dotsoda01,SG,.414,1.2,.516,.667,1.9,1.2,0.5,0.1,0.4,6.7
Sekou Doumbouya\doumbse01,PF,.390,0.7,.449,.674,3.1,0.5,0.5,0.2,0.9,6.4
PJ Dozier\doziepj01,SG,.414,0.6,.468,.724,1.9,2.2,0.5,0.2,0.9,5.8
Goran Dragić\dragigo01,PG,.441,2.1,.526,.776,3.2,5.1,0.7,0.2,2.4,16.2
Andre Drummond\drumman01,C,.533,0.1,.536,.575,15.2,2.7,1.9,1.6,3.6,17.7
Jared Dudley\dudleja01,PF,.400,0.4,.550,1.000,1.2,0.6,0.3,0.1,0.2,1.5
Kris Dunn\dunnkr01,PG,.444,0.6,.487,.741,3.6,3.4,2.0,0.3,1.3,7.3
Carsen Edwards\edwarca01,SG,.328,0.6,.422,.684,1.3,0.6,0.3,0.1,0.4,3.3
Henry Ellenson\ellenhe01,C,.143,0.0,.143,,1.2,0.2,0.0,0.0,0.0,0.4
Wayne Ellington\ellinwa01,SG,.351,1.4,.494,.846,1.8,1.2,0.4,0.1,0.5,5.1
Joel Embiid\embiijo01,C,.477,1.1,.512,.807,11.6,3.0,0.9,1.3,3.1,23.0
James Ennis\ennisja01,SF-SG,.446,0.8,.522,.806,3.6,0.9,0.5,0.3,0.8,6.6
Drew Eubanks\eubandr01,C,.642,0.0,.649,.769,3.9,0.7,0.2,0.8,1.0,4.9
Jacob Evans\evansja02,SG,.336,0.4,.384,.862,1.4,1.1,0.4,0.4,0.9,4.4
Dante Exum\exumda01,SG,.471,0.4,.534,.744,1.9,1.1,0.4,0.2,0.9,4.5
Tacko Fall\fallta01,C,.786,0.0,.786,.333,2.1,0.1,0.1,0.6,0.4,3.3
Derrick Favors\favorde01,C,.617,0.0,.618,.563,9.8,1.6,0.6,0.9,1.1,9.0
Cristiano Felício\feliccr01,C,.630,0.0,.630,.783,4.6,0.7,0.5,0.1,0.8,3.9
Terrance Ferguson\fergute01,SF,.355,0.9,.466,.750,1.3,0.9,0.5,0.3,0.6,3.9
Bruno Fernando\fernabr01,C,.518,0.1,.530,.569,3.5,0.9,0.3,0.3,0.8,4.3
Yogi Ferrell\ferreyo01,PG,.420,0.5,.484,.857,1.0,1.4,0.4,0.1,0.6,4.4
Dorian Finney-Smith\finnedo01,PF,.466,1.6,.575,.722,5.7,1.6,0.6,0.5,1.0,9.5
Bryn Forbes\forbebr01,SG,.417,2.3,.544,.833,2.0,1.7,0.5,0.0,0.9,11.2
Evan Fournier\fournev01,SF,.467,2.6,.560,.818,2.6,3.2,1.1,0.2,1.9,18.5
De'Aaron Fox\foxde01,PG,.480,1.1,.513,.705,3.8,6.8,1.5,0.5,3.1,21.1
Melvin Frazier\frazime01,SG,.441,0.4,.559,.500,0.5,0.2,0.5,0.1,0.3,2.1
Michael Frazier\frazimi01,SG,.241,0.3,.310,.643,0.8,0.2,0.2,0.0,0.4,2.1
Tim Frazier\fraziti01,PG,.362,0.4,.415,.792,1.2,3.4,0.5,0.1,1.3,3.6
Markelle Fultz\fultzma01,PG,.465,0.5,.488,.730,3.3,5.1,1.3,0.2,2.0,12.1
Wenyen Gabriel\gabriwe01,PF,.438,0.2,.500,.682,1.7,0.3,0.4,0.2,0.5,2.1
Daniel Gafford\gaffoda01,C,.701,0.0,.701,.533,2.5,0.5,0.3,1.3,0.7,5.1
Danilo Gallinari\gallida01,PF,.438,2.9,.547,.893,5.2,1.9,0.7,0.1,1.2,18.7
Langston Galloway\gallola01,SG,.435,2.0,.557,.859,2.3,1.5,0.7,0.2,0.6,10.3
Darius Garland\garlada01,SG,.401,1.8,.476,.875,1.9,3.9,0.7,0.1,2.6,12.3
Marc Gasol\gasolma01,C,.427,1.3,.529,.735,6.3,3.3,0.8,0.9,1.3,7.5
Rudy Gay\gayru01,PF,.446,1.1,.508,.882,5.4,1.7,0.5,0.5,1.3,10.8
Paul George\georgpa01,SF,.439,3.3,.539,.876,5.7,3.9,1.4,0.4,2.6,21.5
Taj Gibson\gibsota01,C,.584,0.1,.591,.732,4.3,0.8,0.4,0.5,0.8,6.1
Harry Giles\gilesha01,C,.554,0.0,.554,.776,4.1,1.3,0.5,0.4,1.0,6.9
Shai Gilgeous-Alexander\gilgesh01,SG,.471,1.2,.514,.807,5.9,3.3,1.1,0.7,1.9,19.0
Rudy Gobert\goberru01,C,.693,0.0,.693,.630,13.5,1.5,0.8,2.0,1.9,15.1
Brandon Goodwin\goodwbr01,PG,.400,0.8,.468,.933,2.1,1.5,0.4,0.1,0.9,6.1
Aaron Gordon\gordoaa01,PF,.437,1.2,.484,.674,7.7,3.7,0.8,0.6,1.6,14.4
Eric Gordon\gordoer01,SF,.369,2.7,.473,.766,2.0,1.5,0.6,0.4,1.2,14.4
Devonte' Graham\grahade01,PG,.382,3.5,.495,.820,3.4,7.5,1.0,0.2,2.9,18.2
Treveon Graham\grahatr01,SF,.360,0.6,.428,.643,2.7,0.8,0.4,0.1,0.5,4.4
Jerami Grant\grantje01,PF,.478,1.4,.555,.750,3.5,1.2,0.7,0.8,0.9,12.0
Jerian Grant\grantje02,SG,.370,0.3,.407,.714,1.0,1.5,0.2,0.2,0.5,4.5
Josh Gray\grayjo01,PG,.500,0.0,.500,,1.0,1.0,0.0,0.0,2.5,1.0
Danny Green\greenda02,SG,.416,1.8,.542,.688,3.3,1.3,1.3,0.5,0.9,8.0
Draymond Green\greendr01,PF,.389,0.8,.446,.759,6.2,6.2,1.4,0.8,2.3,8.0
JaMychal Green\greenja01,PF,.429,1.5,.560,.750,6.2,0.8,0.5,0.4,0.9,6.8
Javonte Green\greenja02,SG,.500,0.2,.536,.667,1.9,0.5,0.5,0.2,0.5,3.4
Jeff Green\greenje02,PF-C,.462,1.3,.552,.802,2.8,1.0,0.5,0.4,0.9,9.4
Blake Griffin\griffbl01,PF,.352,1.5,.406,.776,4.7,3.3,0.4,0.4,2.2,15.5
Marko Guduric\gudurma01,SG,.395,0.6,.475,.923,1.7,1.0,0.3,0.2,0.8,3.9
Kyle Guy\guyky01,SG,.400,0.0,.400,,0.3,0.3,0.0,0.0,0.0,1.3
Rui Hachimura\hachiru01,PF,.466,0.5,.489,.829,6.1,1.8,0.8,0.2,1.1,13.5
Devon Hall\hallde01,PG,.200,0.4,.267,.500,0.6,1.2,0.4,0.1,0.5,1.8
Donta Hall\halldo01,C-PF,.682,0.0,.682,.500,4.2,0.4,0.3,0.7,0.6,4.3
Dusty Hannahs\hannadu01,SG,.444,1.0,.556,1.000,0.5,0.0,0.0,0.0,0.0,6.0
Tim Hardaway Jr.\hardati02,SG,.434,2.9,.550,.819,3.3,1.9,0.6,0.1,1.0,15.8
James Harden\hardeja01,SG,.444,4.4,.543,.865,6.6,7.5,1.8,0.9,4.5,34.3
Maurice Harkless\harklma01,PF-SF,.502,0.5,.562,.591,3.9,1.1,0.9,0.5,0.9,5.8
Jared Harper\harpeja01,PG,.250,0.0,.250,,0.0,0.0,0.0,0.0,0.0,0.7
Montrezl Harrell\harremo01,C,.580,0.0,.580,.658,7.1,1.7,0.6,1.1,1.7,18.6
Gary Harris\harriga01,SG,.420,1.3,.487,.815,2.9,2.1,1.4,0.3,1.1,10.4
Joe Harris\harrijo01,SF,.486,2.5,.596,.719,4.3,2.1,0.6,0.2,1.5,14.5
Tobias Harris\harrito02,PF,.471,1.8,.527,.806,6.9,3.2,0.7,0.6,1.4,19.6
Shaquille Harrison\harrish01,SG,.467,0.4,.515,.780,2.0,1.1,0.8,0.4,0.4,4.9
Josh Hart\hartjo01,SF,.423,1.9,.537,.739,6.5,1.7,1.0,0.4,1.2,10.1
Isaiah Hartenstein\harteis01,C,.657,0.0,.657,.679,3.9,0.8,0.4,0.5,0.7,4.7
Udonis Haslem\hasleud01,C,.364,0.3,.409,.750,4.0,0.3,0.0,0.0,0.3,3.0
