Player,Pos,FG%,3P,eFG%,FT%,TRB,AST,STL,BLK,TOV,PTS
Johnathan Williams\willijo04,PF,.559,0.0,.559,.538,4.3,0.5,0.1,0.5,0.3,3.0
Kenrich Williams\willike04,PF,.347,0.6,.432,.346,4.8,1.5,0.7,0.5,0.6,3.5
Lou Williams\willilo02,PG,.418,1.7,.477,.861,3.1,5.6,0.7,0.2,2.8,18.2
Marvin Williams\willima02,PF,.446,1.0,.551,.860,3.2,1.0,0.6,0.5,0.6,5.9
Robert Williams\williro04,C,.727,0.0,.727,.647,4.4,0.9,0.8,1.2,0.7,5.2
Nigel Williams-Goss\willini01,PG,.313,0.2,.375,1.000,0.6,0.6,0.3,0.1,0.3,1.4
Zion Williamson\willizi01,PF,.583,0.3,.592,.640,6.3,2.1,0.7,0.4,2.5,22.5
D.J. Wilson\wilsodj01,PF,.394,0.5,.462,.611,2.5,0.7,0.1,0.1,0.5,3.6
Justise Winslow\winslju01,SG,.388,0.5,.411,.667,6.6,4.0,0.6,0.5,2.2,11.3
Christian Wood\woodch01,PF,.567,0.9,.620,.744,6.3,1.0,0.5,0.9,1.4,13.1
Delon Wright\wrighde01,PG,.462,0.6,.519,.770,3.8,3.3,1.2,0.3,1.0,6.9
Justin Wright-Foreman\wrighju02,PG,.350,0.5,.400,.750,1.3,1.8,0.5,0.0,0.8,4.8
Thaddeus Young\youngth01,PF,.448,1.2,.513,.583,4.9,1.8,1.4,0.4,1.6,10.3
Trae Young\youngtr01,PG,.437,3.4,.519,.860,4.3,9.3,1.1,0.1,4.8,29.6
Cody Zeller\zelleco01,C,.524,0.3,.543,.682,7.1,1.5,0.7,0.4,1.3,11.1
Tyler Zeller\zellety01,C,.250,0.0,.250,,2.0,0.0,0.0,0.0,0.0,1.0
Ante Žižić\zizican01,C,.569,0.0,.569,.737,3.0,0.3,0.3,0.2,0.5,4.4
Ivica Zubac\zubaciv01,C,.613,0.0,.613,.747,7.5,1.1,0.2,0.9,0.8,8.3
