Player,Pos,G,FG%,3P,eFG%,FT%,TRB,AST,STL,BLK,TOV,PTS
Elijah Bryant\bryanel01,SG,1,.462,1.0,.500,1.000,6.0,3.0,0.0,1.0,4.0,16.0
Thomas Bryant\bryanth01,C,10,.648,0.9,.698,.667,6.1,1.5,0.4,0.8,1.1,14.3
Reggie Bullock\bullore01,SF,65,.442,2.5,.587,.909,3.4,1.5,0.8,0.2,0.7,10.9
Trey Burke\burketr01,PG,62,.428,0.9,.510,.895,0.9,1.3,0.6,0.1,0.5,6.6
Alec Burks\burksal01,SG,49,.420,2.1,.522,.856,4.6,2.2,0.6,0.3,1.0,12.7
Jimmy Butler\butleji01,SF,52,.497,0.5,.514,.863,6.9,7.1,2.1,0.3,2.1,21.5
Bruno Caboclo\cabocbr01,PF,6,.471,0.0,.471,.500,2.3,0.2,0.0,0.3,0.7,2.8
Devontae Cacok\cacokde01,PF,20,.586,0.0,.586,.455,1.6,0.1,0.3,0.2,0.3,2.0
Kentavious Caldwell-Pope\caldwke01,SG,67,.431,1.8,.549,.866,2.7,1.9,0.9,0.4,1.0,9.7
Facundo Campazzo\campafa01,PG,65,.381,1.2,.502,.879,2.1,3.6,1.2,0.2,1.1,6.1
Vlatko Čančar\cancavl01,PF,41,.458,0.2,.521,.769,1.2,0.3,0.3,0.0,0.3,2.1
Devin Cannady\cannade01,PG,8,.393,0.8,.500,.857,0.6,0.1,0.6,0.1,0.3,4.3
Clint Capela\capelca01,C,63,.594,0.0,.594,.573,14.3,0.8,0.7,2.0,1.2,15.2
Vernon Carey Jr.\careyve01,C,19,.500,0.1,.514,.818,1.4,0.1,0.1,0.3,0.3,2.4
Jevon Carter\carteje01,PG,60,.422,0.9,.547,.571,1.5,1.2,0.5,0.2,0.3,4.1
Wendell Carter Jr.\cartewe01,C,54,.503,0.3,.520,.732,8.2,1.9,0.6,0.8,1.4,11.2
Michael Carter-Williams\cartemi01,SG,31,.389,0.5,.417,.613,4.5,4.2,0.8,0.5,2.2,8.8
Alex Caruso\carusal01,PG,58,.436,0.9,.526,.645,2.9,2.8,1.1,0.3,1.3,6.4
Willie Cauley-Stein\caulewi01,C,53,.632,0.0,.635,.628,4.5,0.7,0.4,0.8,0.5,5.3
Chris Chiozza\chiozch01,PG,22,.352,0.6,.426,.765,1.1,3.0,0.3,0.3,0.7,4.0
Marquese Chriss\chrisma01,PF,2,.357,0.5,.393,.500,6.5,1.0,0.0,1.0,1.0,6.5
Gary Clark\clarkga01,SF-PF,39,.303,0.8,.420,.800,2.9,0.8,0.3,0.2,0.4,3.1
Brandon Clarke\clarkbr01,PF,59,.517,0.3,.537,.690,5.6,1.6,1.0,0.9,0.6,10.3
Jordan Clarkson\clarkjo01,SG,68,.425,3.1,.522,.896,4.0,2.5,0.9,0.1,1.7,18.4
Nicolas Claxton\claxtni01,C,32,.621,0.0,.624,.484,5.2,0.9,0.7,1.3,0.6,6.6
Amir Coffey\coffeam01,SG,44,.437,0.5,.549,.711,1.0,0.5,0.2,0.0,0.3,3.2
John Collins\collijo01,PF,63,.556,1.3,.610,.833,7.4,1.2,0.5,1.0,1.3,17.6
Mike Conley\conlemi01,PG,51,.444,2.7,.552,.852,3.5,6.0,1.4,0.2,1.9,16.2
Pat Connaughton\connapa01,SG,69,.434,1.5,.565,.775,4.8,1.2,0.7,0.3,0.5,6.8
Quinn Cook\cookqu01,PG,23,.426,0.5,.507,.875,0.7,0.8,0.2,0.0,0.3,3.3
Tyler Cook\cookty01,SF-PF,32,.670,0.0,.675,.486,3.0,0.5,0.3,0.1,0.7,4.9
DeMarcus Cousins\couside01,C,41,.426,1.1,.503,.728,6.4,1.9,0.8,0.6,1.6,8.9
Robert Covington\covinro01,PF,70,.401,1.9,.533,.806,6.7,1.7,1.4,1.2,0.9,8.5
Torrey Craig\craigto01,SF,50,.480,0.8,.566,.773,3.9,1.0,0.6,0.5,0.5,5.5
Jae Crowder\crowdja01,PF,60,.404,2.5,.555,.760,4.7,2.1,0.8,0.5,0.9,10.1
Jarrett Culver\culveja01,SG,34,.411,0.4,.449,.604,3.1,0.7,0.5,0.3,0.8,5.3
Seth Curry\curryse01,SG,57,.467,2.2,.582,.896,2.4,2.7,0.8,0.1,1.1,12.5
