Player,Pos,G,FG%,3P,eFG%,FT%,TRB,AST,STL,BLK,TOV,PTS
Karl-Anthony Towns\townska01,C,50,.486,2.4,.555,.859,10.6,4.5,0.8,1.1,3.2,24.8
Gary Trent Jr.\trentga02,SG,58,.408,2.8,.513,.783,2.6,1.4,1.0,0.2,0.7,15.3
P.J. Tucker\tuckepj01,PF,52,.373,0.8,.486,.750,3.9,1.2,0.8,0.4,0.8,3.7
Rayjon Tucker\tuckera01,PG,14,.500,0.1,.556,.737,0.8,0.4,0.1,0.0,0.3,2.4
Myles Turner\turnemy01,C,47,.477,1.5,.557,.782,6.5,1.0,0.9,3.4,1.4,12.6
Jonas Valančiūnas\valanjo01,C,62,.592,0.3,.606,.773,12.5,1.8,0.6,0.9,1.6,17.1
Denzel Valentine\valende01,SG,62,.373,1.3,.469,.941,3.2,1.7,0.5,0.1,0.7,6.5
Jarred Vanderbilt\vandeja01,PF,64,.606,0.0,.608,.559,5.8,1.2,1.0,0.7,0.8,5.4
Fred VanVleet\vanvlfr01,SG,52,.389,3.3,.489,.885,4.2,6.3,1.7,0.7,1.8,19.6
Anderson Varejão\varejan01,C,5,.250,0.0,.250,.556,4.0,0.6,0.0,0.4,0.2,2.6
Devin Vassell\vassede01,SF,62,.406,0.8,.492,.843,2.8,0.9,0.7,0.3,0.4,5.5
Gabe Vincent\vincega01,PG,50,.378,0.9,.476,.870,1.1,1.3,0.4,0.0,0.7,4.8
Noah Vonleh\vonleno01,PF,4,.000,0.0,.000,,0.3,0.3,0.0,0.0,0.5,0.0
Nikola Vučević\vucevni01,C,70,.477,2.5,.540,.840,11.7,3.8,0.9,0.7,1.8,23.4
Dean Wade\wadede01,PF,63,.431,1.2,.556,.769,3.4,1.2,0.6,0.3,0.5,6.0
Moritz Wagner\wagnemo01,C,45,.454,0.7,.522,.816,3.2,1.1,0.6,0.4,1.0,6.9
Kemba Walker\walkeke02,PG,43,.420,3.0,.514,.899,4.0,4.9,1.1,0.3,2.0,19.3
Lonnie Walker\walkelo01,SG,60,.420,1.7,.502,.814,2.6,1.7,0.5,0.3,1.1,11.2
John Wall\walljo01,PG,40,.404,2.0,.458,.749,3.2,6.9,1.1,0.8,3.5,20.6
Brad Wanamaker\wanambr01,PG,61,.385,0.3,.411,.891,1.7,2.9,0.7,0.2,1.2,5.5
T.J. Warren\warretj01,SF,4,.529,0.0,.529,.800,3.5,1.3,0.5,0.0,1.0,15.5
P.J. Washington\washipj01,PF,64,.440,1.8,.522,.745,6.5,2.5,1.1,1.2,2.0,12.9
Yuta Watanabe\watanyu01,SF,50,.439,0.7,.539,.828,3.2,0.8,0.5,0.4,0.4,4.4
Tremont Waters\watertr01,PG,26,.405,0.6,.494,.941,0.8,2.4,0.6,0.0,1.0,3.8
Paul Watson\watsopa01,SF,27,.463,1.1,.646,.625,1.7,0.6,0.2,0.1,0.3,4.1
Quinndary Weatherspoon\weathqu01,SG,20,.457,0.1,.471,.813,0.6,0.4,0.4,0.1,0.5,2.3
Russell Westbrook\westbru01,PG,65,.439,1.3,.474,.656,11.5,11.7,1.4,0.4,4.8,22.2
Coby White\whiteco01,PG,69,.416,2.4,.506,.901,4.1,4.8,0.6,0.2,2.3,15.1
Derrick White\whitede01,SG,36,.411,2.3,.503,.851,3.0,3.5,0.7,1.0,1.3,15.4
Hassan Whiteside\whiteha01,C,36,.563,0.0,.563,.519,6.0,0.6,0.3,1.3,1.1,8.1
Greg Whittington\whittgr01,PF,4,.000,0.0,.000,,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Wiggins\wiggian01,PF,71,.477,2.0,.543,.714,4.9,2.4,0.9,1.0,1.8,18.6
Grant Williams\willigr01,PF,63,.437,0.8,.534,.588,2.8,1.0,0.5,0.4,0.9,4.7
Kenrich Williams\willike04,PF,66,.533,0.8,.596,.571,4.1,2.3,0.8,0.3,1.2,8.0
Lou Williams\willilo02,PG,66,.410,1.0,.464,.867,2.1,3.4,0.7,0.1,1.6,11.3
Patrick Williams\willipa01,PF,71,.483,0.8,.534,.728,4.6,1.4,0.9,0.6,1.4,9.2
Robert Williams\williro04,C,52,.721,0.0,.721,.616,6.9,1.8,0.8,1.8,1.0,8.0
Zion Williamson\willizi01,PF,61,.611,0.2,.616,.698,7.2,3.7,0.9,0.6,2.7,27.0
D.J. Wilson\wilsodj01,PF,35,.405,0.9,.494,.680,3.2,0.7,0.3,0.5,0.6,5.2
Dylan Windler\windldy01,SF,31,.438,0.8,.538,.778,3.5,1.1,0.6,0.4,1.0,5.2
Justise Winslow\winslju01,SF,26,.352,0.4,.376,.571,4.5,1.9,0.6,0.5,1.4,6.8
Cassius Winston\winstca01,PG,22,.424,0.4,.545,.833,0.4,0.5,0.1,0.0,0.2,1.9
James Wiseman\wisemja01,C,39,.519,0.3,.535,.628,5.8,0.7,0.3,0.9,1.5,11.5
Christian Wood\woodch01,C,41,.514,1.9,.574,.631,9.6,1.7,0.8,1.2,2.0,21.0
Robert Woodard\woodaro01,SF,13,.400,0.1,.425,.375,1.2,0.2,0.0,0.2,0.1,1.5
Delon Wright\wrighde01,SG-PG,63,.463,1.0,.525,.802,4.3,4.4,1.6,0.5,1.3,10.2
Thaddeus Young\youngth01,PF,68,.559,0.2,.568,.628,6.2,4.3,1.1,0.6,2.0,12.1
Trae Young\youngtr01,PG,63,.438,2.2,.499,.886,3.9,9.4,0.8,0.2,4.1,25.3
Cody Zeller\zelleco01,C,48,.559,0.1,.565,.714,6.8,1.8,0.6,0.4,1.1,9.4
Ivica Zubac\zubaciv01,C,72,.652,0.0,.654,.789,7.2,1.3,0.3,0.9,1.1,9.0
