Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Season,isMVP
74,Brian Cardinal,PF,24,DET,8,0,5.4,0.8,1.6,0.462,0.4,0.9,0.429,0.4,0.8,0.5,0.577,0.3,0.3,1,0.3,0.5,0.8,0.3,0.1,0,0,0.6,2.1,2001-2002,0
75,Anthony Carter,PG,26,MIA,46,18,22.8,1.9,5.7,0.342,0,0.4,0.053,1.9,5.2,0.365,0.344,0.4,0.8,0.528,0.4,2.1,2.5,4.7,1.1,0.1,1.6,1.8,4.3,2001-2002,0
76,Vince Carter,SG,25,TOR,60,60,39.8,9.3,21.8,0.428,2,5.2,0.387,7.3,16.6,0.441,0.474,4.1,5.1,0.798,2.3,2.9,5.2,4,1.6,0.7,2.6,3.2,24.7,2001-2002,0
77,Sam Cassell,PG,32,MIL,74,73,35.2,7.5,16.2,0.463,1,2.8,0.348,6.5,13.4,0.486,0.492,3.8,4.4,0.86,0.7,3.5,4.2,6.7,1.2,0.2,2.4,2.8,19.7,2001-2002,0
78,Kelvin Cato,C,27,HOU,75,73,25.6,2.5,4.3,0.583,0,0,0,2.5,4.3,0.585,0.583,1.5,2.6,0.582,2.3,4.7,7,0.4,0.5,1.3,0.7,2.8,6.6,2001-2002,0
79,Tyson Chandler,C,19,CHI,71,31,19.6,2.1,4.3,0.497,0,0,,2.1,4.3,0.497,0.497,1.9,3.1,0.604,1.6,3.2,4.8,0.8,0.4,1.3,1.4,2.5,6.1,2001-2002,0
80,Calbert Cheaney,SG,30,DEN,68,47,24,3.3,6.9,0.481,0,0.1,0,3.3,6.8,0.485,0.481,0.7,1,0.687,0.8,2.7,3.5,1.6,0.5,0.3,1,2.3,7.3,2001-2002,0
81,Chris Childs,PG,34,TOR,69,4,22.8,1.4,4.3,0.328,0.5,1.7,0.275,0.9,2.6,0.364,0.383,0.8,1,0.817,0.3,2,2.2,5.1,0.8,0.1,1.8,2.6,4.1,2001-2002,0
82,Doug Christie,SG,31,SAC,81,81,34.5,4.2,9.1,0.46,1.1,3.2,0.352,3.1,5.9,0.518,0.521,2.5,3,0.851,0.9,3.7,4.6,4.2,2,0.3,2,2.6,12,2001-2002,0
83,Keon Clark,C,26,TOR,81,31,27,4.7,9.6,0.49,0,0.1,0,4.7,9.5,0.494,0.49,1.9,2.8,0.674,2.2,5.2,7.4,1.1,0.7,1.5,1.7,3.2,11.3,2001-2002,0
84,Speedy Claxton,PG,23,PHI,67,18,22.8,2.7,6.7,0.4,0.1,0.5,0.121,2.6,6.3,0.422,0.405,1.7,2,0.838,0.7,1.7,2.4,3,1.4,0.1,1.4,2.2,7.2,2001-2002,0
85,Mateen Cleaves,PG,24,SAC,32,0,4.8,0.9,2.1,0.441,0.1,0.3,0.25,0.9,1.9,0.467,0.456,0.3,0.3,0.889,0,0.2,0.3,0.8,0.2,0,0.8,0.3,2.2,2001-2002,0
86,Derrick Coleman,PF,34,PHI,58,58,35.9,5.7,12.7,0.45,0.5,1.4,0.337,5.2,11.2,0.465,0.469,3.2,3.9,0.815,2.9,5.9,8.8,1.7,0.7,0.9,2.1,2.7,15.1,2001-2002,0
87,Bimbo Coles,PG,33,CLE,47,1,14.7,1.2,3.1,0.384,0.1,0.4,0.2,1.1,2.7,0.413,0.397,0.7,0.8,0.892,0.3,0.9,1.2,2.3,0.3,0.1,0.7,1.3,3.2,2001-2002,0
88,Jason Collier,C,24,HOU,25,2,14.6,1.6,3.8,0.432,0,0,0,1.6,3.8,0.436,0.432,1,1.3,0.75,1.2,2,3.3,0.4,0.2,0.2,0.5,1.6,4.2,2001-2002,0
89,Jarron Collins,C,23,UTA,70,68,20.6,2.3,4.9,0.461,0,0,0,2.3,4.9,0.462,0.461,1.9,2.6,0.74,2,2.3,4.2,0.8,0.4,0.3,0.8,3.3,6.4,2001-2002,0
90,Jason Collins,C,23,NJN,77,9,18.3,1.5,3.6,0.421,0,0,0.5,1.5,3.6,0.42,0.423,1.5,2.1,0.701,1.7,2.2,3.9,1.1,0.4,0.6,0.9,2.2,4.5,2001-2002,0
91,Chris Crawford,PF,26,ATL,7,4,18.7,3,6.4,0.467,0,0.1,0,3,6.3,0.477,0.467,1.6,2.1,0.733,1.3,2.3,3.6,0.7,0.3,0.7,1.4,3,7.6,2001-2002,0
92,Jamal Crawford,PG,21,CHI,23,6,20.9,3.9,8.1,0.476,1.1,2.5,0.448,2.7,5.6,0.488,0.545,0.4,0.6,0.769,0.2,1.3,1.5,2.4,0.8,0.2,1.4,0.8,9.3,2001-2002,0
93,Joe Crispin,PG,22,TOT,21,0,7.4,1.2,3.2,0.382,0.7,1.9,0.385,0.5,1.4,0.379,0.493,0.6,0.6,0.923,0.1,0.4,0.5,1.2,0.2,0,0.5,0.5,3.8,2001-2002,0
94,Austin Croshere,PF,26,IND,76,1,16.9,2.4,5.9,0.413,0.6,1.9,0.338,1.8,4,0.449,0.468,1.3,1.5,0.851,1,2.9,3.9,1,0.3,0.4,0.9,1.4,6.8,2001-2002,0
95,John Crotty,PG,32,UTA,41,0,19.6,2.4,5.1,0.471,0.8,1.7,0.449,1.6,3.4,0.482,0.546,1.4,1.6,0.864,0.4,1.4,1.8,3.4,0.5,0,1.2,1.9,6.9,2001-2002,0
96,Vonteego Cummings,PG,25,PHI,58,1,8.6,1.3,3.2,0.417,0.2,0.8,0.261,1.1,2.4,0.468,0.449,0.4,0.6,0.75,0.2,0.7,0.9,1,0.3,0.1,0.6,0.9,3.3,2001-2002,0
97,Dell Curry,SG,37,TOR,56,4,15.8,2.5,6.2,0.406,0.8,2.3,0.344,1.7,3.9,0.444,0.471,0.6,0.7,0.892,0.4,1,1.4,1.1,0.4,0.1,0.7,0.9,6.4,2001-2002,0
98,Eddy Curry,C,19,CHI,72,31,16,2.6,5.2,0.501,0,0,,2.6,5.2,0.501,0.501,1.5,2.2,0.656,1.5,2.2,3.8,0.3,0.2,0.7,1,2.4,6.7,2001-2002,0
99,Michael Curry,SG,33,DET,82,75,23.3,1.5,3.4,0.453,0.1,0.3,0.269,1.4,3,0.472,0.466,0.9,1.1,0.791,0.2,1.9,2,1.5,0.6,0.1,0.7,2.5,4,2001-2002,0
100,Samuel Dalembert,C,20,PHI,34,0,5.2,0.6,1.5,0.44,0,0,,0.6,1.5,0.44,0.44,0.2,0.5,0.389,0.7,1.3,2,0.1,0.2,0.4,0.4,0.9,1.5,2001-2002,0
101,Erick Dampier,C,26,GSW,73,46,23.8,2.9,6.6,0.435,0,0,,2.9,6.6,0.435,0.435,1.9,2.9,0.645,2.3,3,5.3,1.2,0.2,2.3,2.1,3.2,7.6,2001-2002,0
102,Antonio Daniels,SG,26,SAS,82,13,26.5,3.3,7.5,0.44,0.7,2.4,0.291,2.6,5.1,0.51,0.486,1.9,2.6,0.752,0.3,1.9,2.1,2.8,0.6,0.1,0.9,1.3,9.2,2001-2002,0
103,Antonio Davis,PF,33,TOR,77,77,38.7,5.3,12.5,0.426,0,0,0,5.3,12.5,0.426,0.426,3.8,4.6,0.818,3.3,6.3,9.6,2,0.7,1.1,2.1,2.9,14.5,2001-2002,0
104,Baron Davis,PG,22,CHH,82,82,40.5,6.8,16.4,0.417,2.1,5.8,0.356,4.7,10.5,0.451,0.48,2.4,4.1,0.58,1.1,3.1,4.3,8.5,2.1,0.6,3,2.9,18.1,2001-2002,0
105,Dale Davis,C,32,POR,78,77,31.4,3.8,7.4,0.51,0,0,,3.8,7.4,0.51,0.51,1.9,2.7,0.708,3.4,5.5,8.8,1.2,0.8,1.1,0.8,2.5,9.5,2001-2002,0
106,Emanual Davis,PG,33,ATL,28,20,27.6,2.5,7.1,0.354,1,3,0.341,1.5,4,0.363,0.427,0.6,0.6,0.889,0.7,2,2.6,2.4,1,0.2,1.9,2.4,6.6,2001-2002,0
107,Hubert Davis,SG,31,WAS,51,17,24.1,2.9,6.4,0.448,1.1,2.5,0.452,1.7,3.9,0.445,0.535,0.3,0.4,0.762,0.1,1.4,1.5,2.1,0.5,0.1,0.9,1.1,7.2,2001-2002,0
108,Ricky Davis,SF,22,CLE,82,8,23.8,4.6,9.5,0.481,0.1,0.4,0.314,4.5,9.1,0.489,0.488,2.4,3,0.79,0.8,2.2,3,2.2,0.8,0.3,1.8,1.8,11.7,2001-2002,0
109,Andrew DeClercq,C,28,ORL,61,14,10.4,1.1,2.4,0.45,0,0,,1.1,2.4,0.45,0.45,0.5,0.8,0.56,1.2,1.5,2.7,0.4,0.4,0.4,0.6,2.1,2.7,2001-2002,0
110,Vinny Del Negro,PG,35,PHO,2,0,3,0.5,2,0.25,0,0,,0.5,2,0.25,0.25,0,0,,0,0,0,1,0,0,0,0,1,2001-2002,0
111,Tony Delk,SG,28,TOT,63,17,23,3.6,9.3,0.384,1.1,3.4,0.313,2.5,5.9,0.425,0.441,1.2,1.5,0.804,0.9,2.3,3.2,2.1,0.8,0.2,0.9,1.6,9.5,2001-2002,0
112,Derrick Dial,SG,26,TOT,32,0,9.3,1.3,3.8,0.342,0,0.3,0.091,1.3,3.4,0.367,0.346,0.6,0.8,0.75,0.4,1.3,1.8,1.1,0.3,0.1,0.5,0.4,3.2,2001-2002,0
113,Michael Dickerson,SG,26,MEM,4,4,31,3.8,12,0.313,2,5.3,0.381,1.8,6.8,0.259,0.396,1.3,1.5,0.833,0.8,2.3,3,2.3,0.8,0.3,2,3,10.8,2001-2002,0
114,DeSagana Diop,C,20,CLE,18,1,6.1,0.7,1.6,0.414,0,0,,0.7,1.6,0.414,0.414,0.1,0.3,0.2,0.3,0.7,0.9,0.3,0.1,0.6,0.7,1.1,1.4,2001-2002,0
115,Vlade Divac*,C,33,SAC,80,80,30.3,4.2,9,0.472,0,0.2,0.231,4.2,8.8,0.477,0.474,2.6,4.3,0.615,2.6,5.8,8.4,3.7,1,1.2,2,2.9,11.1,2001-2002,0
116,Michael Doleac,C,24,CLE,42,15,16.8,1.9,4.5,0.417,0,0,,1.9,4.5,0.417,0.417,0.9,1.1,0.826,1.1,2.9,4,0.6,0.4,0.3,0.9,2.3,4.6,2001-2002,0
117,Keyon Dooling,PG,21,LAC,14,0,11.1,1.6,4.1,0.386,0.3,1,0.286,1.3,3.1,0.419,0.421,0.7,0.9,0.833,0,0.2,0.2,0.9,0.3,0.2,0.7,1.4,4.1,2001-2002,0
118,Bryce Drew,PG,27,CHH,61,0,12.7,1.3,3,0.429,0.5,1.2,0.425,0.8,1.8,0.431,0.514,0.4,0.5,0.793,0.2,1,1.2,1.7,0.5,0,0.5,0.8,3.4,2001-2002,0
