Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Season,isMVP
524,Jon Teske,C,24,MEM,3,0,2.7,0,0.3,0,0,0,,0,0.3,0,0,0,0.7,0,0,0.7,0.7,0.3,0.3,0,0,0.3,0,2021-2022,0
525,Daniel Theis,C,29,TOT,36,21,19.8,2.8,5.6,0.488,0.7,2.4,0.295,2,3.2,0.635,0.552,1,1.6,0.661,1.1,3.7,4.7,0.8,0.4,0.7,1.1,2.3,7.3,2021-2022,0
525,Daniel Theis,C,29,HOU,26,21,22.5,3.2,6.9,0.469,0.9,3,0.291,2.3,3.8,0.61,0.534,1,1.5,0.675,1.2,3.8,5,0.8,0.4,0.7,1.2,2.4,8.4,2021-2022,0
525,Daniel Theis,C,29,BOS,10,0,12.9,1.5,2.4,0.625,0.3,0.9,0.333,1.2,1.5,0.8,0.688,1,1.6,0.625,0.6,3.4,4,1,0.4,0.8,0.7,2.1,4.3,2021-2022,0
526,Brodric Thomas,SG,25,BOS,9,0,4.9,0.6,1.4,0.385,0.1,0.8,0.143,0.4,0.7,0.667,0.423,0.2,0.4,0.5,0.2,0.4,0.7,0.7,0,0.1,0.4,0.7,1.4,2021-2022,0
527,Cam Thomas,SG,20,BRK,59,2,18.4,3.5,8.1,0.437,0.8,2.8,0.269,2.8,5.2,0.528,0.484,1.3,1.5,0.833,0.2,2.2,2.4,1.3,0.5,0.1,0.9,1,9.1,2021-2022,0
528,Isaiah Thomas,PG,32,TOT,11,1,17.7,3.1,8.2,0.378,1.4,4.3,0.319,1.7,3.9,0.442,0.461,1.3,1.5,0.824,0.3,1.3,1.5,2.1,0.3,0.3,0.6,1.4,8.8,2021-2022,0
528,Isaiah Thomas,PG,32,LAL,4,1,25.3,3,9.8,0.308,1.3,5.5,0.227,1.8,4.3,0.412,0.372,2,2.8,0.727,0.3,1.8,2,1.5,0,0.5,1.3,3,9.3,2021-2022,0
528,Isaiah Thomas,PG,32,DAL,1,0,13,3,8,0.375,0,3,0,3,5,0.6,0.375,0,0,,0,0,0,4,0,0,0,0,6,2021-2022,0
528,Isaiah Thomas,PG,32,CHO,6,0,13.5,3.2,7.2,0.442,1.7,3.7,0.455,1.5,3.5,0.429,0.558,1,1,1,0.3,1.2,1.5,2.2,0.5,0.2,0.3,0.5,9,2021-2022,0
529,Matt Thomas,SG,27,CHI,39,0,11.7,1.4,3.4,0.41,0.9,2.3,0.385,0.5,1.1,0.465,0.541,0.4,0.5,0.8,0.1,1.2,1.3,0.5,0.2,0.1,0.2,0.5,4.1,2021-2022,0
530,Klay Thompson,SG,31,GSW,24,24,27.3,6.7,16.2,0.412,2.9,8.2,0.355,3.8,8,0.471,0.503,1.6,1.8,0.905,0.5,3.5,4,2.8,0.5,0.7,1.3,1.5,17.8,2021-2022,0
531,Tristan Thompson,PF,30,TOT,45,5,15.9,2.5,4.8,0.525,0,0,0.5,2.5,4.8,0.526,0.528,1.2,2.2,0.545,2.2,3,5.2,0.6,0.4,0.4,0.9,1.9,6.3,2021-2022,0
531,Tristan Thompson,PF,30,SAC,30,3,15.2,2.5,5,0.503,0,0,1,2.5,5,0.5,0.507,1.1,2,0.533,2.4,3,5.4,0.6,0.4,0.4,1,1.7,6.2,2021-2022,0
531,Tristan Thompson,PF,30,IND,4,0,16.5,3.3,6,0.542,0,0,,3.3,6,0.542,0.542,0.8,2,0.375,1.8,2.8,4.5,0.5,0,0.5,1,1.8,7.3,2021-2022,0
531,Tristan Thompson,PF,30,CHI,11,2,17.8,2.3,3.8,0.595,0,0.1,0,2.3,3.7,0.61,0.595,1.7,2.8,0.613,1.6,3.2,4.8,0.5,0.8,0.2,0.7,2.4,6.3,2021-2022,0
532,JT Thor,PF,19,CHO,28,0,8.8,0.9,1.9,0.444,0.3,0.9,0.269,0.6,1,0.607,0.509,0.4,0.5,0.714,0.4,1,1.4,0.6,0.3,0.4,0.3,0.9,2.3,2021-2022,0
533,Matisse Thybulle,SG,24,PHI,54,39,25.8,2.3,4.7,0.488,0.7,2.3,0.302,1.6,2.4,0.672,0.563,0.5,0.6,0.758,0.6,1.8,2.4,1.1,1.7,1.1,0.7,2.4,5.8,2021-2022,0
534,Killian Tillie,C,23,MEM,36,3,12.8,1.2,3.5,0.339,0.8,2.4,0.314,0.4,1.1,0.39,0.445,0.1,0.2,0.625,0.6,1.1,1.7,0.6,0.6,0.4,0.4,1.6,3.3,2021-2022,0
535,Xavier Tillman Sr.,PF,23,MEM,44,0,12.1,1.7,3.7,0.466,0.2,0.9,0.237,1.5,2.8,0.536,0.494,0.7,1.1,0.646,1.1,1.6,2.7,1,1,0.3,0.6,1.2,4.4,2021-2022,0
536,Isaiah Todd,PF,20,WAS,10,0,4.1,0.5,1.7,0.294,0.4,1.1,0.364,0.1,0.6,0.167,0.412,0.2,0.6,0.333,0.2,0.8,1,0.3,0.2,0.2,0.1,0.1,1.6,2021-2022,0
537,Obi Toppin,PF,23,NYK,60,2,14.8,2.8,5.5,0.509,0.4,1.8,0.231,2.4,3.7,0.644,0.547,1.1,1.5,0.739,0.9,2.6,3.5,0.9,0.3,0.4,0.8,1.3,7.2,2021-2022,0
538,Juan Toscano-Anderson,SF,28,GSW,67,6,13.9,1.6,3.3,0.487,0.4,1.3,0.31,1.2,2.1,0.593,0.545,0.6,1,0.571,0.4,2.1,2.5,1.8,0.7,0.2,0.9,1.6,4.2,2021-2022,0
